"","harga","tahun","mileage","variant","transmisi","warna","mesin","merk","model","penumpang","lokasi"
"236",2.12e+08,2014,77500,"G","Automatic","Abu-abu",2494,"Toyota","Kijang Innova",8,"DKI Jakarta » Kemayoran"
"237",2e+08,2014,97500,"Grand Touring","Automatic","Putih",2488,"Mazda","CX-5",5,"DKI Jakarta » Ciputat"
"238",1.1e+08,2017,52000,"Satya E","Manual","Hitam",1199,"Honda","Brio",5,"Jawa Barat » Soreang"
"239",2.56e+08,2018,38000,"G","Automatic","Silver",1998,"Toyota","Kijang Innova",8,"Jawa Barat » Bojong Kulur"
"240",1.39e+08,2006,109636,"FD","Automatic","Hitam",1799,"Honda","Civic",5,"Jawa Tengah » Semarang"
"241",3.6e+07,2003,90000,"GLS","Automatic","Silver",999,"Hyundai","Atoz",5,"Banten » Serua"
"242",8e+07,2001,200000,"LGX-D","Manual","Biru",2446,"Toyota","Kijang",8,"Banten » Pinang"
"243",9e+07,2013,297500,"SV","Automatic","Marun",1498,"Nissan","Evalia",7,"Jawa Timur » Junrejo"
"244",1.18e+08,2016,70510,"X DELUXE","Manual","Biru",1329,"Daihatsu","Xenia",7,"DKI Jakarta » Kalideres"
"245",1.25e+08,2011,97500,"S","Manual","Hitam",1495,"Toyota","Rush",5,"Jawa Timur » Sidoarjo"
"246",1.3e+08,2014,147000,"Veloz","Automatic","Hitam",1496,"Toyota","Avanza",7,"Banten » Ciputat"
"247",1e+08,2009,76000,"ST","Automatic","Marun",1490,"Suzuki","Swift",5,"Jawa Timur » Kademangan"
"248",1.33e+08,2016,35000,"GL","Manual","Hitam",1373,"Suzuki","Ertiga",7,"DKI Jakarta » Cilandak"
"249",9e+07,1995,65000,"GX","Manual","Merah",970,"Suzuki","Katana",5,"DKI Jakarta » Duren Sawit"
"250",2.4e+08,2013,73000,"G","Automatic","Putih",2494,"Toyota","Fortuner",7,"Banten » Ciputat"
"251",3.5e+08,2012,100000,"Dakar","Automatic","Abu-abu",2477,"Mitsubishi","Pajero Sport",7,"Jawa Timur » Buduran"
"252",1.05e+08,2001,140000,"Elegance","Automatic","Silver",2597,"Mercedes-Benz","C240",5,"Jawa Barat » Sindangagung"
"253",1.65e+08,2016,74000,"TRD Sportivo","Automatic","Hitam",1496,"Toyota","Yaris",5,"DKI Jakarta » Ciracas"
"254",4.15e+08,2018,43000,"VTEC","Automatic","Hitam",1498,"Honda","CR-V",7,"Riau » Marpoyan Damai"
"255",112500000,2011,66000,"E","Automatic","Hitam",1497,"Toyota","Yaris",5,"DKI Jakarta » Meruya"
"256",159950000,2017,30000,"E","Manual","Abu-abu",1497,"Honda","BR-V",7,"Jawa Barat » Cikunir"
"257",9e+07,2019,40000,"G","Manual","Silver",1197,"Toyota","Calya",7,"Jawa Barat » Cikarang"
"258",1.55e+08,2011,123000,"FD","Automatic","Hitam",1799,"Honda","Civic",5,"DKI Jakarta » Meruya"
"259",2.26e+08,2016,63000,"Highway Star","Automatic","Abu-abu",1997,"Nissan","Serena",7,"DKI Jakarta » Tanah Kusir"
"260",113500000,2016,95000,"E","Manual","Silver",1329,"Toyota","Avanza",7,"DKI Jakarta » Kramat Jati"
"261",1.1e+08,2013,85000,"Sports E","Manual","Hitam",1339,"Honda","Brio",5,"Jawa Barat » Bogor Selatan"
"262",1.55e+08,2014,42000,"TRD Sportivo","Automatic","Hitam",1497,"Toyota","Yaris",5,"DKI Jakarta » Cinere"
"263",1.38e+08,2010,90000,"RS","Automatic","Silver",1496,"Honda","Jazz",5,"Bali » Panjer"
"264",1.5e+08,2015,47000,"G","Manual","Hitam",1497,"Toyota","Yaris",5,"Sumatera Selatan » Ilir Timur II"
"265",124500000,2016,50000,"Satya E","Manual","Putih",1199,"Honda","Brio",5,"Jawa Timur » Pasuruan"
"266",1.22e+08,2014,97500,"E Prestige","Automatic","Abu-abu",1496,"Honda","Mobilio",7,"Jawa Barat » Bekasi Barat"
"267",1.25e+08,2013,57500,"G","Automatic","Silver",1298,"Toyota","Avanza",7,"DKI Jakarta » Cakung"
"268",171250000,2012,80000,"LTD LTD","Automatic","Hitam",2499,"Ford","Everest",7,"DKI Jakarta » Tebet"
"269",122500000,2016,170,"E","Manual","Abu-abu",1329,"Toyota","Avanza",7,"DKI Jakarta » Ciracas"
"270",9e+07,2013,90000,"1.2L","Manual","Putih",1198,"Nissan","March",5,"DKI Jakarta » Rempoa"
"271",1.75e+08,2008,225000,"V","Automatic","Hitam",2494,"Toyota","Kijang Innova",8,"Jawa Barat » Bandung Timur"
"272",1.05e+08,2011,105000,"G","Automatic","Hitam",1497,"Toyota","Vios",5,"Banten » BSD"
"273",3.99e+08,2017,39000,"VRZ","Automatic","Hitam",2393,"Toyota","Fortuner",7,"Banten » Kampung Utan"
